rating,review
4.0,little cafe set beautiful location ambiance good burger filled taste chicken banana chocolate sandwich variety would never find restaurant bangalore drink wonderful lot flavour choose took little time expected food served table dish seemed priced moderately well food 435 ambiance 485 service 425 chef brilliant job creating new dish variety wonderful place friend
4.0,cozy cafe near silk board came boarding bus totally open air especially comfortable night staff friendly didnt serve food fast quite cheap good bite con dont come weather good toilet dont light recommend beetroot juice
5.0,nice place hang open space must visit place night look awesome food item tasty friend ordered onion pakoda masala soda rose falooda corn sandwich chocolate sandwich item tasty love visit place
4.0,love ambiance perfect way spend sunday food really good value money even shake delicious must visit nature lover
4.0,amazing beautiful place calm area hsr usually come office break hard realise l81 doesnt serf food snack shake shake really well tried lassi dark chocolate icecream day lassi nice icecream usual heart place fresh air decent builtup style
3.0,ordered schezwan paneer sandwich combo taste good hardly find paneer hope would increase quantity paneer next time lemonade ok packing good
3.5,nice compact place outdoor seating ordered veg momos mc cain platter virgin mojito food good great need improvement food taste presentation quantity food good
1.0,ordered chicken subwich 49 offer here suggestion please dont put food offer thats portion gonna serve thats 14th size sub utter disappointment
4.0,tastiest sandwich theyve got milano sandwich must small cute cafe good food drop anything quick bite worth price
1.0,ive chef special mutton sub bread used low quality milk bread flavour totally imbalanced taste quick street food cost like subway restaurant quantity utter low price 180 small sub must absolutely avoid cost
5.0,want best shawarmas town 1000 bc place go head thank later cordial staff amazing service world preparation budget price point else expect
1.0,frod closed hotel chicken supply hotel gave u 15 k know boom body get know please say u foxcart company
4.0,searching place would serve purpose ie quality quantity course pocket friendly landed place wide range offering biryani worth trying best choose quantity small medium large basmati rice nicely mixed masala big chicken piece else foodie need yes 65 good spicier side rated 4 yet touch stuff ahmed tanssem
1.0,paid 140 200 ml container biryani ppl fooling around yar delivery time worthless
3.0,small outlet actually stand name small chicken biriyani though quantity looked small actually full mostly preferred online delivery suggest
1.0,came take parcel dinner cook preferred finish talk food first started cooking 30 min later asked cancel guy behind counter refused accept mistake argue hence pathetic service p food sucked cause made hurry screaming
4.5,lunch friend 100 c restaurant food absolutely wonderful preparation presentation specially enjoyed hyderabad dum biryani tandoori chicken spicy mint chutney excellent value money well definitely back highly recommended
4.5,focus chef kitchen staff procure premium quality ingredient prepared well served fresh hot experience one relish feel delightful 100c give kind experience need anyone looking great food great service way 100c executes serious intent dish prepared served give flavor real indian food biriyani roti absolutely delightful even doesnt compromise taste menu wide diverse even biggest foodie able cover everything visit place delightful day ensure space stomach need lot rate one best place btm
1.5,got served cockroach chicken kadai utterly disappointed service didnt taste would never recommend place
4.5,like name place 100c biriyani went order chicken biriyani n butter chicken biriyani tasted decent quite nice place doubt located btm 7th main visit
2.5,wow dont money add tej patta dalchini biryani please stop preparing rather replacing jeeva cheaper spice
4.0,place really awesome ordered online many time ordered specially paneer item butter chicken actually place found exact taste butter chicken butter paneer masala good quality good food quantity good must visit btm
1.0,one worst biryani tried ordered online delivery zomato never looking back place tasteless total waste time money
4.0,tasty biryani long time btm one nice restaurant keep getting online order twice week p quality food taste loved online order change quality container would attractive p
4.5,think best biryani long time delivered without charging delivery fee quantity needed able finish p btm finally authentic biryani hub cheer
5.0,ordered many time 100 degree good quality taste time delivergreat pricing loved food highly recommend try
4.5,ordered medium chicken biriyani omg surprise gave u free coke biriyani sufficient enough 2 price much cheaper compared quantity serve also ordered chicken 65 average thumb biriyani hope visit soon
5.0,ordered large mutton biryanifrom place seriously amazed regarding tastequalityquantity price surely going order next time
5.0,one best biriyani ever visited friend soon opened btm chicken biriyani chilli chicken served organic plate usual biriyani taste andhra restaurant masala oil right mix spicy great taste must try chilli chicken home delivery also good card payment option home delivery well suggestion request owner add item biriyani order online option zomato right could see biriyani
5.0,ordered many time 100 degree good quality taste time delivergreat pricing loved food highly recommend try
4.5,ordered medium chicken biriyani omg surprise gave u free coke biriyani sufficient enough 2 price much cheaper compared quantity serve also ordered chicken 65 average thumb biriyani hope visit soon
5.0,ordered large mutton biryanifrom place seriously amazed regarding tastequalityquantity price surely going order next time
5.0,one best biriyani ever visited friend soon opened btm chicken biriyani chilli chicken served organic plate usual biriyani taste andhra restaurant masala oil right mix spicy great taste must try chilli chicken home delivery also good card payment option home delivery well suggestion request owner add item biriyani order online option zomato right could see biriyani
5.0,ordered many time 100 degree good quality taste time delivergreat pricing loved food highly recommend try
4.5,ordered medium chicken biriyani omg surprise gave u free coke biriyani sufficient enough 2 price much cheaper compared quantity serve also ordered chicken 65 average thumb biriyani hope visit soon
5.0,ordered large mutton biryanifrom place seriously amazed regarding tastequalityquantity price surely going order next time
5.0,one best biriyani ever visited friend soon opened btm chicken biriyani chilli chicken served organic plate usual biriyani taste andhra restaurant masala oil right mix spicy great taste must try chilli chicken home delivery also good card payment option home delivery well suggestion request owner add item biriyani order online option zomato right could see biriyani
5.0,awesome tastewe ordered veg chicken biryaniboth good tastewe would love order suggest people love biryani
5.0,nice biryani tender well cooked meat perfect level spice herb masala generous quantity totally loved
5.0,team lunch team really enjoyed biriyani recommended love real hyderabad biriyani taste good quantity wise good
4.5,one f best taste btm good quantity recommended love spicy taste hyderabadi biryani hope see
5.0,hi new restaurant opened btm 2nd stage chicken biriyani really yummy asli hyderabadi biriyani quantity also good worth ordering
